Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -rpkm -condenseGenes)	chr	start	end	strand	Length	Copies	Annotation/Divergence	CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 reads FPKM	CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 reads FPKM	CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	CD8TCell-RNA-LCMV-0d-KAA-14-10-31 reads FPKM	CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 reads FPKM	CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 reads FPKM
NR_030492	chr9	108969922	108970003	+	81.0	1	Mir711|Mirn711|mir-711|mmu-mir-711|-|9|9|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.661	0.000	0.000	0.000
NM_030100	chr10	128747879	128766568	+	1168.0	1	Wibg|A030010B05Rik|Pym|-|10 D3|10|protein-coding	33.973	41.216	46.399	66.909	37.169	42.074	42.257	25.208	35.048	38.470	29.301
NM_025983	chr2	174461075	174464101	-	409.0	1	Atp5e|2410043G19Rik|ATPE|AV000645|RP23-59M10.5|2 H4|2|protein-coding	317.832	305.239	399.607	369.144	343.968	367.326	362.304	274.597	308.516	332.439	235.741
NM_012038	chr12	11325245	11436649	-	1930.0	1	Vsnl1|VILIP|Vnsl1|-|12|12 A2|protein-coding	0.000	0.000	0.171	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_045934	chr13	70573241	70576104	+	679.0	1	1700100L14Rik|-|RP23-376D8.1|13|13|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001285877	chr4	134402970	134427412	+	2805.0	1	Pafah2|2310074E22Rik|AI507170|-|4 D3|4|protein-coding	0.000	0.323	0.282	0.124	1.323	0.876	0.380	0.095	0.443	0.336	0.798
NR_029783	chr19	34820687	34820773	-	86.0	1	Mir107|Mirn107|mmu-mir-107|-|19|19|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001170955	chr8	21315546	21316387	+	279.0	1	Gm15299|ENSMUSG00000074438|OTTMUSG00000019793|-|8 A2|8|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_144916	chr6	72355483	72359762	+	1500.0	1	Tmem150a|BC014685|Tmem150|-|6 C1|6|protein-coding	1.226	0.550	1.187	0.204	0.834	0.047	1.219	0.892	0.491	0.449	0.394
NM_028897	chr15	82070117	82126814	+	3958.0	1	Mei1|4932408F18Rik|mei1|-|15 E1|15 38.41 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011
NR_102285	chr8	10899922	10902334	+	1199.0	1	4833411C07Rik|-|-|8|8|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_172486	chr17	21383748	21399265	+	2906.0	1	Zfp677|A830058L05Rik|Tce8|-|17 A3.2|17|protein-coding	5.723	4.383	4.016	4.067	2.183	5.291	3.656	7.074	5.434	4.917	2.443
NM_001011859	chr9	39719229	39720167	+	937.0	1	Olfr965|MOR171-28|-|9 A5.1|9|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_175123	chr2	91277828	91444642	-	1968.0	1	1110051M20Rik|AI586322|RP23-42N14.3|2 E1|2|protein-coding	0.561	1.173	1.340	2.526	2.390	1.926	2.574	1.360	1.814	2.215	4.916
NM_172771	chr9	54365158	54501626	-	10568.0	1	Dmxl2|6330586A12|6430411K14Rik|E130119P06Rik|mKIAA0856|RP24-383M20.1|9|9 C|protein-coding	0.000	0.020	0.000	0.004	0.000	0.000	0.000	0.010	0.004	0.026	0.004
NM_031187	chr17	25343245	25345562	-	1184.0	1	Tpsab1|MMCP-7|Mcp-7|Mcp7|Mcpt7|mCG_17632|17 A3.3|17 12.53 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001008705	chr5	145140397	145148074	+	698.0	1	Bud31|C77604|EDG-2|EDG2|G10|-|5 G2|5|protein-coding	57.668	80.011	52.233	74.101	52.243	57.933	50.469	55.219	86.442	80.532	41.465
NM_172604	chr14	65919395	65953744	-	3397.0	1	Scara3|APC7|C130058N24Rik|CSR|CSR1|MSLR1|MSRL1|-|14 D1|14|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_028281	chr15	80082859	80082906	-	47.0	1	Snord43|MBII-47|-|15 E1|15|snoRNA	0.000	0.000	0.000	3.712	6.427	1.494	0.000	0.000	1.651	1.912	0.000
NM_001012396	chr2	14026831	14056035	-	878.0	1	Ptpla|HACD1|RP23-334M9.1|2 A2|2|protein-coding	0.000	0.000	0.000	0.000	0.688	0.000	0.000	0.000	0.000	0.000	0.192
NM_013882	chr15	85859946	85876573	+	2679.0	1	Gtse1|B99|Gtse-1|-|15 E2|15 40.42 cM|protein-coding	1.373	22.523	1.083	14.032	0.918	0.865	1.137	1.239	19.480	11.573	0.899
NM_009071	chr18	10064401	10181792	-	6152.0	1	Rock1|1110055K06Rik|Rock-I|-|18|18 A2|protein-coding	17.523	25.874	21.734	20.614	23.331	27.719	22.973	21.415	21.539	22.240	22.623
NM_001081300	chr18	84011627	84086562	-	5810.0	1	Tshz1|5730407I04Rik|D18Bwg1409e|Mtsh1|NY-CO-33|Sdccag33|Tsh1|mKIAA4206|teashirt1|-|18 E4|18 57.53 cM|protein-coding	10.445	10.038	11.472	9.345	11.372	12.047	10.278	9.536	7.680	7.424	11.599
NM_001081356	chrX	71816758	71824706	+	4190.0	1	Vma21|2610030H06Rik|AI840175|RP23-304N5.3|X|X|protein-coding	3.101	4.328	4.343	3.414	5.345	6.484	5.872	4.459	3.769	4.676	4.639
NM_026233	chr8	83348472	83379402	+	1279.0	1	Mgat4d|4933434I20Rik|GnT1IP|GnT1IP-L|-|8 C2|8|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_015508	chrX	103493576	103506425	+	3781.0	1	Jpx|2010000I03Rik|2510040I06Rik|Enox|-|X|X 46.17 cM|ncRNA	0.141	0.360	0.471	0.265	0.628	0.761	0.181	0.580	0.298	0.238	0.358
NM_028782	chr17	56614298	56626903	-	2946.0	1	Lonp1|1200017E13Rik|LON|Prss15|-|17|17 D|protein-coding	21.764	18.803	22.805	22.338	23.145	21.066	22.920	16.499	18.321	18.898	23.463
NM_009867	chr2	179442478	179899375	+	6325.0	1	Cdh4|AW120700|R-Cadh|R-cadherin|Rcad|RP23-23G3.1|2 H4|2 101.86 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_198669	chr6	132206795	132210521	-	1615.0	1	Prb1|BC011176|Prpg2|-|6 G1|6|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_027694	chr19	42255739	42270348	+	2816.0	1	Golga7b|4933417O08Rik|AI839934|RP23-470C16.1|19|19 D1|protein-coding	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.016	0.000
NM_027007	chr18	23954688	23964670	+	5480.0	1	Zfp397|2810411K16Rik|6720480F11Rik|AI461664|-|18 A2|18|protein-coding	4.430	4.648	4.476	3.955	5.717	6.585	5.977	5.969	4.319	4.223	5.197
NM_010155	chr7	25242560	25250758	-	3497.0	1	Erf|-|-|7 A3|7 13.73 cM|protein-coding	13.193	9.005	6.693	7.009	11.662	8.291	6.207	22.641	15.379	12.309	21.446
NM_138301	chr10	77907722	77969872	-	7256.0	1	Trpm2|9830168K16Rik|C79133|LTRPC2|TRPC7|Trp7|Trrp7|-|10 C1|10 39.72 cM|protein-coding	0.039	0.000	0.118	0.006	0.048	0.000	0.010	0.000	0.005	0.006	0.052
NR_045380	chr3	40900199	40902543	-	2344.0	1	1700034I23Rik|-|-|3 B|3|pseudo	0.000	0.018	0.000	0.149	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001038996	chr6	41354105	41357944	+	883.0	1	Try10|-|-|6 B1|6|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_027103	chr8	116969599	116978943	-	2966.0	1	1700030J22Rik|-|-|8 E1|8|protein-coding	0.083	0.125	0.000	0.206	0.087	0.024	0.154	0.235	0.131	0.258	0.128
NM_198308	chr8	111094745	111135144	+	2884.0	1	Pdpr|4930402E16Rik|AU018056|mKIAA1990|-|8 E1|8|protein-coding	10.897	12.233	11.979	11.523	9.457	13.680	11.554	12.659	11.113	12.075	11.925
NM_178061	chr4	34949074	35157484	-	6024.0	1	Mob3b|8430436F23Rik|A430018A01Rik|Mobkl2b|RP23-454N16.6|4 A5|4 16.86 cM|protein-coding	0.190	0.212	0.372	0.239	1.504	0.559	0.620	0.133	0.238	0.112	1.136
NM_197985	chr6	119353150	119417483	-	3953.0	1	Adipor2|1110001I14Rik|ADCR2|AI115388|AW554121|D6Ucla1e|Paqr2|-|6 F1|6 56.78 cM|protein-coding	25.069	26.692	27.352	25.562	29.552	29.996	27.505	25.202	24.166	25.621	23.215
NM_146907	chr2	111335159	111336076	-	916.0	1	Olfr1282|MOR248-16|MOR248-2|Olfr1557|RP24-383G18.4|2 E3|2|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_011737	chr1	127815271	127840290	-	3925.0	1	Map3k19|Ysk4|-|1 E3|1|protein-coding	0.000	0.000	0.017	0.000	0.011	0.000	0.000	0.000	0.000	0.034	0.022
NM_173771	chr1	134385940	134390983	+	1764.0	1	4933406M09Rik|-|-|1 E4|1|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_026925	chr19	58670365	58681788	+	1472.0	1	Pnlip|1810007A24Rik|PL|PTL|-|19 D2|19 54.46 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001159288	chr11	3649494	3690370	+	5056.0	1	Morc2a|8430403M08Rik|Zcwcc1|RP23-309E11.5|11 A1|11|protein-coding	10.507	8.617	14.135	9.980	13.392	14.010	12.873	10.948	8.803	9.527	14.048
NM_175191	chr12	31706867	31713926	-	4582.0	1	Gpr22|2900068K05Rik|AW061316|-|12 A3|12|protein-coding	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.051	0.010	0.065
NM_028913	chr7	43607169	43618279	+	2405.0	1	Zfp819|4930427I11Rik|4933405K07Rik|-|7 B4|7|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.063	0.089	0.016	0.019	0.053
NM_011852	chr5	120876142	120887598	-	1984.0	1	Oas1g|AI449562|L2|Mmu-L|Mmu-L2|Oas1a|Oias-1|Oias1|-|5 F|5 60.65 cM|protein-coding	0.021	0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.045	0.000
NR_003376	chr11	116434213	116439031	+	1296.0	1	Gm7367|EG664849|-|7 C|7|pseudo	24.690	19.686	15.261	25.204	14.052	12.947	18.513	16.770	20.598	19.485	12.160
NR_015544	chr2	135580530	135583220	-	2286.0	1	9630028H03Rik|-|-|2|2|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_199032	chr5	76591714	76646466	+	5287.0	1	Cep135|BC062951|Cep4|Gm1044|-|5 C3.3|5|protein-coding	3.687	4.818	4.751	3.737	3.812	4.342	3.335	5.042	5.218	3.994	3.548
NM_026511	chr12	111713269	111734224	+	1054.0	1	Apopt1|1700081D05Rik|2810002N01Rik|Apop-1|Apop1|-|12|12 F2|protein-coding	13.725	17.910	11.760	21.929	15.436	11.923	13.550	11.275	23.414	23.618	11.304
NM_173398	chr3	59096448	59101821	-	2221.0	1	Gpr171|A630006E05|F730001G15Rik|H963|-|3 D|3|protein-coding	36.468	46.672	35.384	41.922	35.596	45.043	37.260	33.189	52.149	53.551	33.101
NR_033451	chr6	130291161	130306432	-	809.0	1	Klra13-ps|Klra13|Ly49M|-|6 F3|6 63.44 cM|pseudo	1.162	0.357	0.000	0.000	0.373	0.000	0.377	3.044	0.048	0.000	0.783
NM_177920	chrX	139079250	139085236	-	2351.0	1	Serpina7|C730040N12Rik|Tbg|RP23-228A20.1|X F1|X|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_016737	chr19	7020696	7040026	-	2157.0	1	Stip1|Hop|Sti1|p60|-|19 A|19|protein-coding	29.782	42.840	32.399	34.371	46.955	38.503	38.207	23.900	42.795	42.767	51.556
NM_177242	chr5	122284398	122324281	+	4603.0	1	Pptc7|9130017A15Rik|AA672638|AI848390|TA-PP2C|-|5 F|5|protein-coding	25.959	16.673	22.401	14.306	20.054	23.900	24.126	28.458	15.679	17.874	21.185
NM_009996	chr2	170482965	170497138	-	3282.0	1	Cyp24a1|24-OHase|CP24|Cyp24|RP23-321D1.3|2 H3|2 91.91 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001290808	chr2	120609382	120621559	+	3077.0	1	Haus2|1700101G24Rik|2410007P03Rik|AU020217|Cep27|RP23-158L6.4|2|2 F1|protein-coding	6.016	11.426	8.399	9.595	8.401	7.506	7.265	7.724	11.047	11.478	8.417
NM_023557	chr17	34914466	34930436	+	2322.0	1	Slc44a4|2210409B01Rik|NG22|-|17|17 B2|protein-coding	0.000	0.000	0.028	0.038	0.000	0.000	0.000	0.000	0.017	0.000	0.000
NM_009512	chr7	12988346	12998192	-	2318.0	1	Slc27a5|FACVL3|FATP5|VLCS-H2|VLCSH2|Vlacsr|-|7 A1|7|protein-coding	0.264	0.178	0.085	0.226	0.149	0.030	0.181	0.554	0.117	0.000	0.201
NM_001252464	chr17	24473550	24479078	-	3330.0	1	Mlst8|0610033N12Rik|AA409454|AI505104|AI851821|Gbl|-|17 A3.3|17|protein-coding	12.775	16.363	16.591	18.505	15.862	14.041	17.624	12.282	15.008	16.570	15.822
NM_153582	chr8	104348193	104395807	-	7726.0	1	Cmtm4|Cklfsf4|D19397|ENSMUSG00000051554|Gm9853|-|8 D3|8|protein-coding	2.407	2.993	1.775	2.580	0.860	1.763	2.233	2.328	3.084	2.699	0.880
NR_037235	chr13	63301199	63301283	-	84.0	1	Mir3074-1|mmu-mir-3074-1|-|13|13 32.8 cM|ncRNA	8.270	6.379	0.785	7.268	0.000	0.000	1.360	0.637	1.848	1.070	0.000
NM_001166737	chr7	20509617	20510534	-	916.0	1	Vmn1r103|EG667129|Gm8474|-|7 A3|7|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_026290	chr17	28530861	28538975	+	1095.0	1	Armc12|4930511I11Rik|AV041658|-|17 A3.3|17|protein-coding	0.075	0.000	0.000	0.000	0.236	0.000	0.070	0.000	0.106	0.041	0.000
NM_010120	chr18	46597704	46610225	+	2874.0	1	Eif1a|C76390|Ef1a|Eftu|Eif4c|eIF-1A|eIF-4C|-|18 C|18|protein-coding	8.802	12.161	12.525	18.573	17.313	13.850	14.603	9.630	16.525	21.794	16.127
NM_010387	chr17	34153191	34160229	+	1276.0	1	H2-DMb1|AI385589|H-2Mb1|H2-Mb1|-|17 B1|17 17.98 cM|protein-coding	0.000	0.000	0.000	0.103	0.473	0.000	0.000	0.084	0.091	0.035	0.364
NM_177087	chr17	71673261	71729669	+	3481.0	1	Fam179a|4632412N22Rik|-|17 E1.3|17|protein-coding	0.012	0.000	0.000	0.013	0.012	0.020	0.000	0.062	0.000	0.026	0.049
NM_001190491	chr7	19083849	19093820	+	2608.0	1	Dmpk|DM|DMK|Dm15|MDPK|MT-PK|-|7 A3|7 9.46 cM|protein-coding	0.016	0.000	0.000	0.000	0.017	0.000	0.000	0.000	0.015	0.000	0.113
NM_178281	chr17	36258873	36271433	-	3061.0	1	Trim39|1100001D15Rik|E130103K13Rik|RBCC-B30.2|Rnf23|mKIAA4179|tfp|-|17 B1|17|protein-coding	19.131	11.580	18.157	14.076	15.917	15.596	19.147	16.981	10.952	12.463	19.835
NM_138667	chr10	7905648	7956123	-	4269.0	1	Tab2|1110030N06Rik|A530078N03Rik|Map3k7ip2|mKIAA0733|-|10 A1|10|protein-coding	55.799	51.286	65.667	60.354	54.719	62.639	62.214	58.686	53.599	63.847	54.861
NM_009518	chr1	74792019	74804175	+	1955.0	1	Wnt10a|-|-|1 C3|1|protein-coding	0.000	0.000	0.270	0.022	0.044	0.000	0.097	0.055	0.000	0.000	0.043
NM_009712	chr13	93771679	93943016	+	3979.0	1	Arsb|1110007C02Rik|AI480648|As-1|As-1r|As-1s|As-1t|As1|As1-r|As1-s|As1-t|Asr-1|Ast-1|-|13 C3-D1|13 47.88 cM|protein-coding	30.986	90.221	17.298	61.530	6.540	16.303	16.051	30.002	73.235	62.595	4.545
NM_175681	chr11	67706430	67771153	-	4858.0	1	Glp2r|9530092J08Rik|GLP-2|RP23-338M9.1|11 B3|11|protein-coding	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.000
NM_001166728	chr1	182157178	182158098	-	919.0	1	Vmn1r1|EG625823|Gm6628|-|1 H5|1|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_029576	chr19	5099207	5106996	-	1827.0	1	Rab1b|1110011F09Rik|-|19 A|19|protein-coding	119.734	136.800	101.150	146.992	81.537	100.599	99.263	98.918	135.519	135.463	70.280
NM_009661	chr11	69183885	69197843	-	3257.0	1	Alox8|15-LOX-2|15-LOX-B|8-LOX|8S-LOX|Alox15b|RP23-26L6.5|11|11 B4|protein-coding	1.066	0.443	0.648	0.870	0.026	1.250	1.099	0.888	0.643	0.704	0.065
NM_198620	chr5	8490336	8622952	-	3663.0	1	Rundc3b|Gm440|-|5 A1|5|protein-coding	4.362	3.027	5.382	3.441	8.153	10.043	9.451	5.904	4.979	6.366	11.016
NM_145940	chr11	109573521	109611389	-	1802.0	1	Wipi1|4930533H01Rik|AW411817|D11Ertd498e|RP23-465A12.6|11 E1|11 72.18 cM|protein-coding	0.023	0.252	0.073	0.339	0.000	0.000	0.000	0.030	0.172	0.150	0.258
NR_108053	chr15	63880707	63889073	+	1037.0	1	Gsdmcl2|4921501E01Rik|4930453O09Rik|Gm7779|-|15 D1|15|pseudo	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001293631	chr9	44396927	44402968	+	2050.0	1	Slc37a4|G6PT|G6pt1|GSD-1b|mG6PT|-|9|9 B|protein-coding	12.240	9.248	10.227	11.871	10.841	10.308	10.348	8.043	11.281	11.288	7.358
NR_037230	chr12	109587943	109588031	+	88.0	1	Mir3070a|mmu-mir-3070a|-|12|12 60.37 cM|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_145532	chr2	127704390	127729897	-	1961.0	1	Mall|BC012256|BENE|RP23-189N15.3|2 F1|2|protein-coding	0.000	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001001803	chr18	62592413	62596264	-	253.0	1	Spink7|EG408198|Ecg2|-|18E1|18|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_053186	chr1	36511876	36528237	+	5174.0	1	Cnnm3|Acdp3|Clp3|mACDP3|-|1 B|1 15.3 cM|protein-coding	8.262	3.871	7.900	4.265	11.026	9.254	8.914	8.794	4.080	4.855	10.600
NM_001042650	chr8	13255963	13288126	-	2847.0	1	Dcun1d2|AW495713|mFLJ10704|-|8 A1.1|8|protein-coding	10.091	10.206	12.459	8.517	14.339	11.639	14.487	9.890	7.987	7.623	13.624
NM_007719	chr11	99144199	99155077	-	1970.0	1	Ccr7|CD197|Cdw197|Cmkbr7|EBI1|Ebi1h|RP23-80N1.2|11 D|11|protein-coding	0.747	0.293	15.093	8.302	315.114	28.367	29.442	0.299	0.118	1.277	166.625
NM_198885	chr15	76457438	76459468	+	1132.0	1	Scx|BB114693|Bhlha41|Scl|-|15 D3|15 35.92 cM|protein-coding	0.181	0.182	0.291	0.000	0.076	0.248	0.235	0.000	0.171	0.159	0.224
NM_026033	chr5	3639961	3647936	-	2540.0	1	Gatad1|2310031E19Rik|2810047M21Rik|8430439A17Rik|9130430G15Rik|B330017N08Rik|ENSMUSG00000073241|Odag|-|5|5 A2|protein-coding	11.857	19.342	10.616	17.702	12.505	13.212	11.470	12.940	20.394	18.681	10.762
NM_146265	chr2	90221567	90224471	-	1080.5	2	Olfr1506|MOR228-4|RP23-226K16.4|2 E1|2|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001029979	chr17	56562942	56584583	-	3249.0	1	Safb2|AA389433|AI255170|mKIAA0138|-|17 D|17|protein-coding	40.186	28.543	38.413	31.799	38.107	32.563	36.747	32.179	25.354	25.087	49.911
NM_138599	chr16	57121714	57154530	+	3764.0	1	Tomm70a|2610044B22Rik|D16Ium22|D16Ium22e|D16Wsu109e|Tom70|mKIAA0719|-|16 C1.1|16 34.22 cM|protein-coding	17.121	22.590	18.286	23.972	26.805	21.524	22.381	19.683	28.648	29.486	22.540
NM_010098	chr1	175662421	175692632	-	1763.0	1	Opn3|ERO|Ecpn|-|1|1 H3|protein-coding	0.348	0.935	1.234	0.495	0.343	0.358	0.497	0.638	0.836	0.790	0.479
NM_172868	chr4	57568248	57717128	+	8187.0	1	Palm2|53-H12|B130066I24|R75368|pEN70|RP24-332K18.1|4 B3|4|protein-coding	0.000	0.000	0.000	0.000	0.021	0.017	0.000	0.000	0.000	0.000	0.000
NM_021375	chr3	88242874	88254684	-	1900.0	1	Rhbg|-|-|3 F1|3 38.78 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.148	0.000	0.000	0.000	0.000	0.000
NM_023202	chr17	33824572	33838316	+	521.0	1	Ndufa7|14.5kDa|2400007M02Rik|CI-B14.5a|-|17 B1|17|protein-coding	117.969	99.203	127.050	151.926	117.701	114.267	130.258	99.872	103.074	124.450	120.023
NM_009117	chr7	46740499	46742980	-	601.0	1	Saa1|Saa-1|Saa2|-|7 B4|7 30.54 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_023065	chr8	70762773	70766663	-	971.0	1	Ifi30|GILT|IP30|-|8 B3.3|8|protein-coding	7.533	30.859	10.932	25.376	6.800	13.809	15.649	4.025	26.414	29.061	10.182
NM_008791	chr16	96467606	96525793	+	636.0	1	Pcp4|P16Rimb19|Pcp-4|Pep19|-|16 C4|16 56.97 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.066
NM_207705	chr2	165291112	165316893	-	3220.0	1	Elmo2|1190002F24Rik|CED-12|mKIAA1834|RP23-41B20.2|2 H3|2|protein-coding	12.882	18.854	11.896	14.316	12.022	9.419	11.579	12.402	20.955	17.080	12.098
NM_008248	chr11	54866438	54870496	+	571.0	1	Hint1|AA673479|Hint|Ipk1|PKCI-1|PRKCNH1|RP24-84L18.1|11 B1.3|11|protein-coding	350.256	395.990	400.426	489.569	274.721	345.732	375.631	257.066	347.924	428.950	241.966
NM_145472	chr15	76721465	76723845	-	1754.0	1	C030006K11Rik|1110033I13Rik|-|15 D3|15|protein-coding	9.180	5.052	6.879	4.600	10.063	7.925	10.530	6.714	4.535	3.817	7.034
NM_009004	chr18	34624936	34633277	+	3452.0	1	Kif20a|AA415432|Rab6kifl|-|18 B1|18 18.69 cM|protein-coding	2.924	46.828	2.655	27.048	3.638	3.234	2.582	4.900	42.612	31.083	2.117
NM_001012325	chr13	67069398	67097976	-	2532.0	1	Zfp708|Rslcan11|-|13 B3|13|protein-coding	0.985	0.863	0.599	0.431	2.079	1.386	1.399	0.888	0.797	0.834	1.485
NM_001290548	chr2	31572651	31617526	+	3247.0	1	Fubp3|A330051M14Rik|AV006371|FBP3|Marta2|RP23-442G9.4|2 B|2|protein-coding	5.349	6.220	6.294	5.708	7.217	6.876	7.072	6.479	6.166	7.099	7.807
NM_001285425	chr1	9960163	9967485	-	3743.0	1	Tcf24|ENSMUSG00000073738|Gm10567|Gm2330|-|1 A2|1|protein-coding	0.000	0.033	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.012	0.000
NM_146966	chr2	89609089	89610153	-	1062.0	1	Olfr1247|MOR231-6|RP23-150I5.6|2 E1|2|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_008011	chr13	55152818	55168759	+	3126.0	1	Fgfr4|Fgfr-4|-|13 B1|13 29.8 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_027905	chr17	14947736	14948823	-	1087.0	1	LOC106740|-|-|17|17|ncRNA	2.143	1.327	1.213	0.843	1.667	1.550	1.296	1.773	1.713	1.488	2.371
NM_008047	chr16	37777055	37836516	+	3596.0	1	Fstl1|AI316791|AW107808|Fstl|TSC-36|-|16 B3|16 26.48 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.000	0.000
NM_033614	chr19	38132781	38183951	+	2939.0	1	Pde6c|cpfl1|-|19 C3|19|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043
NM_009501	chr19	59166187	59170029	-	1013.0	1	Vax1|-|-|19 D3|19 54.61 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_011318	chr1	172893961	172895054	-	980.0	1	Apcs|Sap|-|1 H3|1 80.33 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_146583	chr2	86181150	86182109	-	958.0	1	Olfr52|IE6|MOR185-6|ORL446|RP23-232A21.7|2 D|2|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
